Artist,Date,Title
Kygo and Ava Max,2025-01-07,Whatever
LeAnn Rimes,2025-01-07,Can't Fight The Moonlight
Drew Sycamore,2025-01-07,Another Lovesong
Flo Rida ft. Sia,2025-01-07,Wild Ones
Miley Cyrus,2025-01-07,End Of The World
Rema and Selena Gomez,2025-01-07,Calm Down
Imagine Dragons,2025-01-07,On Top Of The World
Myles Smith,2025-01-07,Nice To Meet You
Alex Warren ft. Ella Henderson,2025-01-07,Carry You Home
Westlife,2025-01-07,World Of Our Own
Billie Eilish,2025-01-07,Birds Of A Feather
Fergie,2025-01-07,Big Girls Don't Cry
Glass Animals,2025-01-07,Heat Waves
Drew Sycamore,2025-01-07,Lonely Heat
Noah Kahan,2025-01-07,Stick Season
Jubel ft. Neimy,2025-01-07,Dancing In The Moonlight
Jax Jones ft. MNEK,2025-01-07,Where Did You Go
Katy Perry,2025-01-07,Teenage Dream
Alex Warren,2025-01-07,Ordinary
The Weeknd,2025-01-07,Blinding Lights
Lost Frequencies,2025-01-07,Are You With Me
B.O.B. ft. Hayley Williams,2025-01-07,Airplanes
Benson Boone,2025-01-07,Beautiful Things
Rihanna,2025-01-07,Only Girl
Dua Lipa,2025-01-07,Houdini
The Weeknd,2025-01-07,Dancing In The Flames
Shaboozey,2025-01-07,A Bar Song
Iyaz,2025-01-07,Replay
Teddy Swims,2025-01-07,The Door
Bruno Mars,2025-01-07,Just The Way You Are
OneRepublic,2025-01-07,Counting Stars
Jordin Sparks and Chris Brown,2025-01-07,No Air
Avicii vs. Nicki Romero,2025-01-07,I Could Be The One
Justin Timberlake,2025-01-07,Mirrors
Tobias Rahim ft. Andreas Odbjerg,2025-01-07,Stor Mand
Jonah Blacksmith,2025-01-07,Yellow Bike
David Guetta ft. MistaJam ft. John Newman,2025-01-07,If You Really Love Me
Drew Sycamore,2025-01-07,Change The World
"Robin Schulz, Lilly Wood, The Prick",2025-01-07,Prayer In C
P!nk,2025-01-07,Never Gonna Not Dance Again
Mabel,2025-01-07,Don't Call Me Up
Joel Corry and MNEK,2025-01-07,Head & Heart
Mary J. Blige,2025-01-07,Family Affair
Calvin Harris ft. Rag'n'Bone Man,2025-01-07,Lovers In A Past Life
The Calling,2025-01-07,Wherever You Will Go
Loreen,2025-01-07,Euphoria
C21,2025-01-07,Stuck In My Heart
C21,2025-01-07,One of Us Is Lonely
Eric Prydz,2025-01-07,Call On Me
Selena Gomez ft. Marshmello,2025-01-07,Wolves
Calum Scott,2025-01-07,Dancing On My Own
Black Eyed Peas,2025-01-07,Where Is The Love
Christopher,2025-01-07,Fall So Hard
Drew Sycamore,2025-01-07,Take It Back
Eminem ft. Rihanna,2025-01-07,The Monster
Westlife,2025-01-07,When You're Looking Like That
Zedd and Grey ft. Maren Moris,2025-01-07,The Middle
Jonah Blacksmith,2025-01-07,House On Fire
Lewis Capaldi,2025-01-07,Someone You Loved
Avril Lavigne,2025-01-08,Complicated
Zara Larsson and David Guetta,2025-01-08,On My Love
Ed Sheeran,2025-01-08,Shape Of You
Uro,2025-01-08,Min Bror
Mark Ambor,2025-01-08,Belong Together
eminem,2025-01-08,The Real Slim Shady
Dasha,2025-01-08,Not At This Party
Shaboozey,2025-01-08,A Bar Song
The Script,2025-01-08,The Man Who Can't Be Moved
Christopher,2025-01-08,Lose A You
Kygo and Ava Max,2025-01-08,Whatever
LeAnn Rimes,2025-01-08,Can't Fight The Moonlight
Drew Sycamore,2025-01-08,Another Lovesong
Flo Rida ft. Sia,2025-01-08,Wild Ones
Miley Cyrus,2025-01-08,End Of The World
Rema and Selena Gomez,2025-01-08,Calm Down
