Track,Repeats,Stations,Station_Count
LOST FREQUENCIES - Are you with me,1,RadioGlobus,1
Lady GaGa - Poker Face,1,NOVA,1
Lady Gaga - Poker Face,1,SkalaFM,1
"Lady Gaga, Colby O'Donis - Just Dance",1,P3,1
Lasgo - Something (Faustix Extended Remix),1,PartyFM,1
"Let's Groove - Earth, Wind and Fire",1,PopFM,1
Life Is A Highway - Tom Cochrane,1,Radio100,1
Life's What You Make It - Talk Talk,1,PopFM,1
Livin' On A Prayer - Bon Jovi,1,Radio100,1
Living On My Own - Freddie Mercury,1,PopFM,1
Locked Out Of Heaven - Bruno Mars,1,Radio100,1
Lola Young - Messy,1,SkalaFM,1
Lose A You - Christopher,1,Radio100,1
Lose Control - Teddy Swims,1,Radio100,1
Love Is A Stranger - Eurythmics,1,PopFM,1
Love Is All Around - Wet Wet Wet,1,Radio100,1
Love Isn't Easy - Kind mod Kind ft. Medina,1,TheVoice,1
Love The Way You Lie - Eminem and Rihanna,1,Radio100,1
Lucky Lo - Yes To Myself,1,P4,1
Lukas Graham - Take the World by Storm,1,NOVA,1
MARK AMBOR - Belong together,1,RadioGlobus,1
MAROON 5 - Maps,1,RadioGlobus,1
MARTIN GARRIX / LLOYISO - Real love,1,RadioGlobus,1
MATOMA / THE NOTORIOUS B.I.G. / JA RULE / RALPH TREVANT - Old thing back,1,RadioGlobus,1
MATTAFIX - Big city life,1,RadioGlobus,1
MICHAEL BUBLÉ - It's a beautiful day,1,RadioGlobus,1
MILEY CYRUS - End of the world,1,RadioGlobus,1
MILEY CYRUS - Malibu,1,RadioGlobus,1
MIMI WEBB - Ghost of you,1,RadioGlobus,1
Macklemore and Ryan Lewis ft. Ray Dalton - Can't Hold Us,1,NOVA,1
Mahkenna - Sing It Out,1,PartyFM,1
Mama Said - Lukas Graham,1,Radio100,1
Man In The Mirror - Michael Jackson,1,PopFM,1
Man On The Moon - R.E.M,1,Radio100,1
Manic Monday - The Bangles,1,Radio100,1
Marc Van Linden - There's Nothing I Won't Do (CJ Stone Remix),1,PartyFM,1
Marco Laschi & Giona Guidi & Ron Carroll - The Light (Extended Mix),1,PartyFM,1
Maria - Ricky Martin,1,PopFM,1
Marie Frank - Symptom Of My Time,1,P4,1
Mark Morrison - Return of the Mack,1,SkalaFM,1
Mark Ronson - Uptown Funk,1,SkalaFM,1
"Mark Ronson, Amy Winehouse - Valerie",1,P3,1
Maroon 5 - Girls Like You,1,SkalaFM,1
Maroon 5 - Misery,1,PartyFM,1
Maroon 5 - Payphone,1,SkalaFM,1
Maroon 5 - This Love,1,SkalaFM,1
Maroon 5 ft. Christina Aguilera - Moves Like Jagger,1,NOVA,1
"Maroon 5, LISA - Priceless",1,P4,1
Marshmello - Here With Me Feat CHVRCHES,1,PartyFM,1
"Marshmello, P!nk, Sting - Dreaming",1,P4,1
Mary J. Blige - Family Affair,1,NOVA,1
Material Girl - Madonna,1,PopFM,1
Michael Jackson - Man In The Mirror,1,P4,1
Michael Jackson - Thriller,1,P4,1
"Michael Jackson, Vincent Price - Thriller",1,P4,1
Mike Posner - I Took A Pill In Ibiza (SeeB Remix),1,P3,1
Million Dollar Baby - Tommy Richman,1,TheVoice,1
Mimi Webb - Ghost Of You,1,NOVA,1
Mimi Webb - Ghost of You,1,PartyFM,1
Minus Plus - Love Song (Smithee's Banger Remix),1,PartyFM,1
Mokaby - Lonely With U,1,PartyFM,1
Money's Too Tight - Simply Red,1,PopFM,1
Moonlight Shadow - Mike Oldfield and Maggie Reilly,1,Radio100,1
Morgan Wallen ft. Tate McRae - What I Want,1,NOVA,1
N'Sync - It's Gonna Be Me,1,SkalaFM,1
NICKY ROMERO & DAVID GUETTA - Shout,1,RadioGlobus,1
Nabiha - Mind The Gap,1,P4,1
Nana - Life,1,PartyFM,1
Ne-Yo - Miss Independent,1,NOVA,1
Need You Tonight - Inxs,1,PopFM,1
Neelix - You,1,PartyFM,1
Never Gonna Give You Up - Rick Astley,1,PopFM,1
New Song - Howard Jones,1,PopFM,1
Nicki Minaj - Pound The Alarm,1,PartyFM,1
Nirvana - Smells Like Teen Spirit (Eric Mullder Vocal Bootleg Edit),1,PartyFM,1
Nothing's Gonna Stop Us Now - Starship,1,Radio100,1
Novembervej - Nik and Jay,1,Radio100,1
OLLY MURS - Kiss me,1,RadioGlobus,1
ORA - Under The Influence,1,P3,1
Olivia Rodrigo - vampire,1,P3,1
One Kiss - Calvin Harris ft. Dua Lipa,1,TheVoice,1
One More Time - Daft Punk,1,TheVoice,1
OneRepublic - Apologize,1,SkalaFM,1
OneRepublic - I Don't Wanna Wait,1,PartyFM,1
Only You - Yazoo,1,PopFM,1
Out of It - Fallulah,1,Radio100,1
Over My Shoulder - Mike and the Mechanics,1,Radio100,1
Owl City and Carly Rae Jepsen - Good Time,1,NOVA,1
P!NK - Beautiful trauma,1,RadioGlobus,1
P!NK / WILLOW SAGE HART - Cover me in sunshine,1,RadioGlobus,1
P!nk - Never Gonna Not Dance Again,1,SkalaFM,1
P!nk - So What,1,PartyFM,1
PURPLE DISCO MACHINE / SOPHIE AND THE GIANTS - In the dark,1,RadioGlobus,1
Panic! At The Disco - High Hopes,1,P4,1
Patric Mcfly - Teenage Dirthouse (Topmodelz Remix),1,PartyFM,1
Pattesutter - Dance With The Pattesutter (D-Devils vs. Pattesutter),1,PartyFM,1
Perfect - Ed Sheeran,1,Radio100,1
Perfect - Fairground Attraction,1,PopFM,1
"Philip Bailey, Phil Collins - Easy Lover",1,P4,1
"Pitbull ft. Ne-yo, Afrojack and Nayer - Give Me Everything",1,NOVA,1
"Pitbull, Chris Brown - International Love",1,P3,1
"Pitbull, Marc Anthony - Rain Over Me",1,P3,1
Please Don't Leave Me - Pretty Maids,1,PopFM,1
Post Malone - Circles,1,SkalaFM,1
Post Malone ft. Morgan Wallen - I Had Some Help,1,NOVA,1
Promiscuous - Nelly Furtado ft. Timbaland,1,TheVoice,1
Promise Me - Beverley Craven,1,PopFM,1
Pump Sisters - Daddy Cool (Remix 2000),1,PartyFM,1
R3hab & Zroq - Feed The Skydrop Feat. Dada Life (Redline Bootleg),1,PartyFM,1
RED HOT CHILI PEPPERS - Snow ((Hey oh)),1,RadioGlobus,1
ROBBIE WILLIAMS - Let me entertain you,1,RadioGlobus,1
